Gene Species Taxon Signature
0 Coli_009226 Coli_009226 0.1910030143606801
0 Coli_002307 Coli_002307 0.1910030143606801
0 Coli_005717 Coli_005717 0.09847930132942577
0 Coli_008360 Coli_008360 0.1910030143606801
0 Coli_014658 Coli_014658 0.1910030143606801
0 Coli_013783 Coli_013783 0.1910030143606801
0 Coli_017863 Coli_017863 0.1910030143606801
0 Coli_007924 Coli_007924 0.09847930132942577
0 Coli_005709 Coli_005709 0.09847930132942577
0 Coli_008284 Coli_008284 0.09847930132942577
0 Coli_008283 Coli_008283 0.09847930132942577
0 Coli_013221 Coli_013221 0.09847930132942577
0 Coli_002304 Coli_002304 0.09847930132942577
0 Coli_008282 Coli_008282 0.09847930132942577
0 Coli_013809 Coli_013809 0.09847930132942577
0 Coli_019534 Coli_019534 0.09847930132942577
0 Coli_014378 Coli_014378 0.09847930132942577
0 Coli_014374 Coli_014374 0.09847930132942577
0 Coli_017879 Coli_017879 0.008465209106135407
0 Coli_014902 Coli_014902 0.008465209106135407
0 Coli_018757 Coli_018757 0.09847930132942577
0 Coli_018758 Coli_018758 0.09847930132942577
0 Coli_010001 Coli_010001 0.09847930132942577
0 Coli_017855 Coli_017855 0.09847930132942577
0 Coli_016931 Coli_016931 0.09847930132942577
0 Coli_018028 Coli_018028 0.013441982178730803
