Gene Species Taxon Signature
0 Coli_014444 Coli_014444 0.19530497725724558
0 Coli_004182 Coli_004182 0.9690598754502036
0 Coli_008763 Coli_008763 0.0814546461475082
0 Coli_012851 Coli_012851 0.9690598754502036
0 Coli_016145 Coli_016145 0.9690598754502036
0 Coli_010754 Coli_010754 0.9690598754502036
0 Coli_016389 Coli_016389 0.9690598754502036
0 Coli_010751 Coli_010751 0.05608251569183631
0 Coli_007026 Coli_007026 0.05608251569183631
0 Coli_019979 Coli_019979 0.05608251569183631
0 Coli_016486 Coli_016486 0.03393080193314248
0 Coli_007120 Coli_007120 0.03393080193314248
0 Coli_016244 Coli_016244 0.03393080193314248
0 Coli_007119 Coli_007119 0.03393080193314248
0 Coli_007023 Coli_007023 0.03393080193314248
0 Coli_006987 Coli_006987 0.03393080193314248
0 Coli_010598 Coli_010598 0.003608546389105692
0 Coli_006976 Coli_006976 0.03393080193314248
0 Coli_009432 Coli_009432 0.03393080193314248
0 Coli_009653 Coli_009653 0.03393080193314248
0 Coli_007011 Coli_007011 0.03393080193314248
0 Coli_012684 Coli_012684 0.009910293982968011
0 Coli_007124 Coli_007124 0.003608546389105692
0 Coli_015881 Coli_015881 0.006633316512109885
0 Coli_017271 Coli_017271 0.006633316512109885
0 Coli_012859 Coli_012859 0.006633316512109885
